Benchmark,Baseline,LBPU,LTCU,Valkyrie,Speedup(Prefetch),Speedup(Probing),Speedup(Valkyrie)
mt,0.0113,0.0082,0.01024,0.00773,1.37804878,1.103515625,1.461836999
mm,0.1343,0.0915,0.1287,0.0901,1.467759563,1.043512044,1.490566038
km,0.1084,0.08119,0.051,0.0614,1.335139796,2.125490196,1.765472313
st,0.0464,0.04431,0.0399,0.0391,1.047167682,1.162907268,1.186700767
pr,0.1044,0.08652,0.0814,0.0793,1.20665742,1.282555283,1.316519546
spmv,0.116,0.0317,0.0866,0.0327,3.659305994,1.339491917,3.547400612
flw,0.06206,0.0465,0.0306,0.0307,1.334623656,2.028104575,2.021498371
fir,0.00494,0.00494,0.00494,0.00494,1,1,1
bs,0.0763,0.0763,0.0763,0.0763,1,1,1
sc,0.000839,0.000839,0.000839,0.000839,1,1,1
,,,,,,,
,,,,,,,
,,,,,1.494663505,1.387844965,1.711964481
