Benchmark,Baseline,LBPU,LTCU,Valkyrie,Prefetcher,Probing,Valkyrie
mt,0.01044,0.0076,0.00889,0.00707,1.373684211,1.174353206,1.476661952
mm,0.1357,0.1079,0.0863,0.0801,1.257645968,1.572421784,1.694132335
km,0.07742,0.0709,0.0345,0.0358,1.091960508,2.244057971,2.162569832
st,0.0375,0.0354,0.03027,0.0295,1.059322034,1.238850347,1.271186441
pr,0.0675,0.0624,0.0434,0.0411,1.081730769,1.555299539,1.642335766
spmv,0.0806,0.0285,0.04683,0.0263,2.828070175,1.721118941,3.064638783
flw,0.0598,0.0529,0.0389,0.0309,1.130434783,1.537275064,1.935275081
fir,0.00494,0.00494,0.00494,0.00494,1,1,1
bs,0.0763,0.0763,0.0763,0.0763,1,1,1
sc,0.000839,0.000839,0.000839,0.000839,1,1,1
,,,,,,,
,,,,,1.31805517,1.546168231,1.823290904
