Benchmark,TotalMiss,FoundInSameSEL1,TotalMissPrefetch,FoundInSameSEL1Prefetch,TotalMissPrefetchIntoPB,FoundInSameSEL1PrefetchIntoPB,NeighborHitRateBaseline,NeighborHitRatePrefetch,NeighborHitRatePrefetchInPB
mt,288512,60027,191780,3280,207055,23427,0.208057204,0.01710293,0.113143851
mm,4982267,4070760,5895558,1259962,3873267,1925095,0.817049749,0.213713782,0.49702099
km,3258244,2054287,2809251,185067,2420656,807472,0.630489,0.065877702,0.333575692
st,1192899,428696,1162701,24770,1129658,330410,0.359373258,0.021303843,0.292486753
pr,3717912,2233522,3093561,487936,2820115,1392831,0.600746333,0.157726323,0.493891561
spmv,3424285,1989034,1252015,54853,885193,347113,0.580861114,0.043811775,0.392132563
flw,15157003,13330709,11610244,9839251,13859241,12219149,0.879508238,0.847462896,0.881660763
fir,71157,14118,71157,14118,71157,14118,0.198406341,0.198406341,0.198406341
sc,1422,598,1422,598,1422,598,0.420534459,0.420534459,0.420534459
bs,192376,92896,192376,92896,192376,92896,0.482887678,0.482887678,0.482887678
